field,value
generated_utc,2025-12-26T00:07:37.187937
underwriting_id,UW-20251226-4206
policy_id,POL-20251226-6559
policy_status,billing_pending
policy_type,disability
jurisdiction,US
coverage_amount,100000
annual_premium,2700.0
monthly_premium,225.0
savings_percentage,50
customer_id,CUST-60611
customer_name,testbuyer4@example.com
customer_email,testbuyer4@example.com
policy_nft_token,NFT-POL-20251226-6559
billing_deadline,2025-12-28T00:07:37.115828
application_snapshot_sha256,5bb03ef430dc064f1ea003bdbce6228d8972a72dd984c26b0b87a8c1ab58129f
pricing_snapshot_sha256,1e7ad30f3dd9158565c79ece7aa672b4f3bdfed76d08d78aaeafda0492dc6101
terms_version,template
term_1,- This document is an electronically generated record for underwriting and compliance.
term_2,- Coverage activates upon underwriting approval AND successful payment within the billing window.
term_3,"- Health risk loading applies ONLY to the risk cover portion, per PHINS underwriting rules."
term_4,- All actions are logged to an internal ledger (audit log + token registry).
