PHINS.ai Savings Projection Export (Compliance)
contact,support@phins.ai
generated_utc,2025-12-26T19:29:51.783076

application_id,UW-20251226-4793
policy_id,POL-20251226-5317
issuance_id,ISS-ad732da1b907
issued_date,2025-12-26T19:29:51.747988
nft_token,NFT-POL-20251226-5317-ISS-ad732da1b907

customer_id,CUST-87128
customer_name,pipeline.tester@example.com
customer_email,pipeline.tester@example.com
customer_phone,

underwriting_status,approved
risk_assessment,low
decision_date,2025-12-26T19:29:51.747960
approved_by,admin

age,30,years,15
coverage_amount,100000.0
jurisdiction,US
savings_percentage,50
health_condition_score,3
monthly_total_premium,150.0
monthly_savings_allocation,75.0

scenario,annual_return_percent,future_value
conservative,2.0,15728.48
base,5.0,20046.67
growth,8.0,25952.87

Disclaimer,Projections are estimates and not guarantees. Governed by master insurance conditions and endorsements.
